IP:Port,Loss,Latency
162.159.192.116:3854,0%,147.41
162.159.195.47:878,0%,147.95
162.159.192.155:939,0%,149.87
162.159.195.254:1180,0%,151.20
162.159.192.194:7281,0%,151.66
162.159.195.31:7559,0%,152.60
162.159.195.234:939,0%,152.60
162.159.195.139:3581,0%,153.20
162.159.192.139:939,0%,154.86
162.159.195.242:7281,0%,155.27
