IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
162.159.58.44,4,4,0.00,57.60,0.00
172.64.229.171,4,4,0.00,62.74,0.00
172.67.238.158,4,4,0.00,150.99,0.00
104.27.107.196,4,4,0.00,151.04,0.00
172.65.143.2,4,4,0.00,151.23,0.00
172.67.10.173,4,4,0.00,151.42,0.00
104.17.244.210,4,4,0.00,151.58,0.00
104.24.200.171,4,4,0.00,151.59,0.00
104.24.77.129,4,4,0.00,151.63,0.00
172.67.193.253,4,4,0.00,151.64,0.00
